script_name,model_type,download_method,civitai_model_id,civitai_version_id,huggingface_model_id,direct_url,output_directory,helper_library,filename,param1,param2,param3,tags
ControlNet/NoobE/NoobE_Canny.sh,ControlNet,huggingface_download,,,Eugeoter/noob-sdxl-controlnet-canny,,ControlNet/NoobE,huggingface_download.sh,NoobE_Canny.safetensors,Eugeoter/noob-sdxl-controlnet-canny,diffusion_pytorch_model.fp16.safetensors,,standard
ControlNet/NoobE/NoobE_DepthMidas_v11.sh,ControlNet,huggingface_download,,,Eugeoter/noob-sdxl-controlnet-depth_midas-v1-1,,ControlNet/NoobE,huggingface_download.sh,NoobE_DepthMidas_v11.safetensors,Eugeoter/noob-sdxl-controlnet-depth_midas-v1-1,diffusion_pytorch_model.fp16.safetensors,,standard
ControlNet/NoobE/NoobE_Inpaint.sh,ControlNet,huggingface_download,,,Zuntan/dist,,ControlNet/NoobE,huggingface_download.sh,NoobE_Inpaint.safetensors,Zuntan/dist,,,minimum;standard
ControlNet/NoobE/NoobE_LineartAnime.sh,ControlNet,huggingface_download,,,Eugeoter/noob-sdxl-controlnet-lineart_anime,,ControlNet/NoobE,huggingface_download.sh,NoobE_LineartAnime.safetensors,Eugeoter/noob-sdxl-controlnet-lineart_anime,diffusion_pytorch_model.fp16.safetensors,,standard
ControlNet/NoobE/NoobE_LineartRealistic.sh,ControlNet,huggingface_download,,,Eugeoter/noob-sdxl-controlnet-lineart_realistic,,ControlNet/NoobE,huggingface_download.sh,NoobE_LineartRealistic.safetensors,Eugeoter/noob-sdxl-controlnet-lineart_realistic,diffusion_pytorch_model.fp16.safetensors,,standard
ControlNet/NoobE/NoobE_MangaLine.sh,ControlNet,huggingface_download,,,Eugeoter/noob-sdxl-controlnet-manga_line,,ControlNet/NoobE,huggingface_download.sh,NoobE_MangaLine.safetensors,Eugeoter/noob-sdxl-controlnet-manga_line,diffusion_pytorch_model.fp16.safetensors,,standard
ControlNet/NoobE/NoobE_NormalMidas.sh,ControlNet,huggingface_download,,,Eugeoter/noob-sdxl-controlnet-normal,,ControlNet/NoobE,huggingface_download.sh,NoobE_NormalMidas.safetensors,Eugeoter/noob-sdxl-controlnet-normal,diffusion_pytorch_model.fp16.safetensors,,standard
ControlNet/NoobE/NoobE_Openpose_pre.sh,ControlNet,huggingface_download,,,Laxhar/noob_openpose,,ControlNet/NoobE,huggingface_download.sh,NoobE_Openpose_pre.safetensors,Laxhar/noob_openpose,openpose_pre.safetensors,,standard
ControlNet/NoobE/NoobE_ScribbleHed.sh,ControlNet,huggingface_download,,,Eugeoter/noob-sdxl-controlnet-scribble_hed,,ControlNet/NoobE,huggingface_download.sh,NoobE_ScribbleHed.safetensors,Eugeoter/noob-sdxl-controlnet-scribble_hed,diffusion_pytorch_model.fp16.safetensors,,standard
ControlNet/NoobE/NoobE_ScribblePidinet.sh,ControlNet,huggingface_download,,,Eugeoter/noob-sdxl-controlnet-scribble_pidinet,,ControlNet/NoobE,huggingface_download.sh,NoobE_ScribblePidinet.safetensors,Eugeoter/noob-sdxl-controlnet-scribble_pidinet,diffusion_pytorch_model.fp16.safetensors,,standard
ControlNet/NoobE/NoobE_SoftedgeHed.sh,ControlNet,huggingface_download,,,Eugeoter/noob-sdxl-controlnet-softedge_hed,,ControlNet/NoobE,huggingface_download.sh,NoobE_SoftedgeHed.safetensors,Eugeoter/noob-sdxl-controlnet-softedge_hed,diffusion_pytorch_model.fp16.safetensors,,standard
ControlNet/NoobE/NoobE_Tile.sh,ControlNet,huggingface_download,,,Eugeoter/noob-sdxl-controlnet-tile,,ControlNet/NoobE,huggingface_download.sh,NoobE_Tile.safetensors,Eugeoter/noob-sdxl-controlnet-tile,diffusion_pytorch_model.fp16.safetensors,,minimum;standard
ControlNet/Pony/AnyTest_PonyDim256_v40.sh,ControlNet,huggingface_download,,,2vXpSwA7/iroiro-lora,,ControlNet/Pony,huggingface_download.sh,AnyTest_PonyDim256_v40.safetensors,2vXpSwA7/iroiro-lora,test_controlnet2/CN-anytest_v4-marged_pn_dim256.safetensors,,
ControlNet/Sdxl/AnyTest_Dim64_v10.sh,ControlNet,huggingface_download,,,2vXpSwA7/iroiro-lora,,ControlNet/Sdxl,huggingface_download.sh,AnyTest_Dim64_v10.safetensors,2vXpSwA7/iroiro-lora,test_controlnet/CN-anytest_v1_dim64.safetensors,,minimum;standard
ControlNet/Sdxl/Inpaint_Kataragi.sh,ControlNet,huggingface_download,,,kataragi/controlnetXL_inpaint,,ControlNet/Sdxl,huggingface_download.sh,Inpaint_Kataragi.safetensors,kataragi/controlnetXL_inpaint,Kataragi_inpaintXL-lora128.safetensors,,minimum;standard
ESRGAN/2x-AnimeSharpV4_Fast_RCAN_PU.sh,ESRGAN,huggingface_download,,,Kim2091/2x-AnimeSharpV4,,ESRGAN,huggingface_download.sh,2x-AnimeSharpV4_Fast_RCAN_PU.safetensors,Kim2091/2x-AnimeSharpV4,,,minimum;standard
ESRGAN/2x-AnimeSharpV4_RCAN.sh,ESRGAN,huggingface_download,,,Kim2091/2x-AnimeSharpV4,,ESRGAN,huggingface_download.sh,2x-AnimeSharpV4_RCAN.safetensors,Kim2091/2x-AnimeSharpV4,,,minimum;standard
ESRGAN/4x-AnimeSharp.sh,ESRGAN,huggingface_download,,,Zuntan/dist,,ESRGAN,huggingface_download.sh,4x-AnimeSharp.pth,Zuntan/dist,,,minimum;standard
ESRGAN/4x-UltraSharp.sh,ESRGAN,huggingface_download,,,Zuntan/dist,,ESRGAN,huggingface_download.sh,4x-UltraSharp.pth,Zuntan/dist,,,minimum;standard
ESRGAN/4x-UltraSharpV2.sh,ESRGAN,huggingface_download,,,Kim2091/UltraSharpV2,,ESRGAN,huggingface_download.sh,4x-UltraSharpV2.safetensors,Kim2091/UltraSharpV2,,,minimum;standard
ESRGAN/4x-UltraSharpV2_Lite.sh,ESRGAN,huggingface_download,,,Kim2091/UltraSharpV2,,ESRGAN,huggingface_download.sh,4x-UltraSharpV2_Lite.safetensors,Kim2091/UltraSharpV2,,,minimum;standard
